                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.162,                0.56384,                 0.9639,                0.97854,                0.96037,                0.98999,                0.68686,                  1.132,                0.48888,                0.96437,                0.00101,                0.00101,                0.00101
                     52,                 1.1532,                0.55781,                0.96153,                0.97547,                0.95913,                0.98945,                0.68674,                 1.1313,                0.48953,                0.96532,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1529,                0.55588,                0.96011,                0.97359,                0.95908,                0.98878,                0.68781,                 1.1286,                0.48784,                0.96269,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1434,                0.55093,                0.95425,                0.97569,                0.96374,                0.99008,                0.69592,                 1.1189,                0.48175,                0.95905,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1429,                0.55109,                0.95323,                0.97821,                 0.9564,                 0.9897,                 0.6949,                 1.1089,                0.47287,                 0.9547,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1414,                0.55182,                0.95663,                   0.98,                0.95994,                0.99019,                0.69369,                 1.1256,                0.47423,                0.96202,               0.000911,               0.000911,               0.000911
                     57,                 1.1324,                 0.5386,                0.95343,                0.97828,                0.96294,                0.99011,                0.70099,                  1.113,                0.47092,                0.95575,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1367,                0.54183,                0.95278,                0.97749,                 0.9652,                0.99004,                0.69229,                 1.1243,                0.47636,                0.95915,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1303,                0.54235,                0.95086,                0.97791,                0.96514,                0.99086,                0.69172,                 1.1218,                0.47555,                0.96154,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1315,                0.54014,                0.95197,                0.98074,                0.96514,                 0.9908,                0.69702,                 1.1077,                0.47073,                0.95415,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1247,                0.53632,                0.95042,                0.97931,                0.96701,                0.99083,                0.69907,                 1.1161,                0.47025,                0.96017,               0.000812,               0.000812,               0.000812
                     62,                 1.1215,                0.53383,                0.95109,                0.98165,                0.95872,                0.99048,                0.69969,                 1.1078,                0.46897,                0.95405,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1253,                 0.5367,                 0.9502,                0.98129,                0.96514,                0.99111,                0.70166,                 1.1111,                0.46353,                0.95454,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1146,                0.52677,                0.94319,                0.97806,                0.96788,                0.99158,                  0.703,                 1.1024,                0.45676,                0.95114,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1258,                0.53003,                0.94864,                0.98302,                0.96324,                0.99149,                0.70083,                 1.0943,                0.46514,                0.94864,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1125,                0.52708,                0.95168,                0.98185,                0.96833,                0.99172,                0.70732,                 1.0955,                0.45371,                0.94774,               0.000713,               0.000713,               0.000713
                     67,                 1.1153,                0.52573,                0.94436,                 0.9842,                0.96421,                 0.9915,                0.70462,                 1.0924,                0.45342,                0.94779,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1105,                0.52804,                0.94173,                0.97813,                 0.9703,                0.99146,                0.70769,                 1.0932,                0.45197,                0.94791,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1123,                0.52416,                0.94551,                0.98274,                0.96565,                0.99118,                0.70944,                   1.09,                0.45107,                0.94462,              0.0006536,              0.0006536,              0.0006536
